experiment_id,dataset_id,original_filename,sheet_name,collagen_concentration_mg_ml,replicate_id,test_type_standard
zenodo_17413651::Colageno_bov_0.8_1_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_0.8_1_frecuencia.xlsx,Hoja1,0.8,1,frequency_sweep
zenodo_17413651::Colageno_bov_0.8_1_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_0.8_1_tiempo.xlsx,Hoja1,0.8,1,time_sweep
zenodo_17413651::Colageno_bov_0.8_2_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_0.8_2_frecuencia.xlsx,Hoja1,0.8,2,frequency_sweep
zenodo_17413651::Colageno_bov_0.8_2_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_0.8_2_tiempo.xlsx,Hoja1,0.8,2,time_sweep
zenodo_17413651::Colageno_bov_0.8_3_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_0.8_3_frecuencia.xlsx,Hoja1,0.8,3,frequency_sweep
zenodo_17413651::Colageno_bov_0.8_3_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_0.8_3_tiempo.xlsx,Hoja1,0.8,3,time_sweep
zenodo_17413651::Colageno_bov_0.8_4_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_0.8_4_frecuencia.xlsx,Hoja1,0.8,4,frequency_sweep
zenodo_17413651::Colageno_bov_0.8_4_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_0.8_4_tiempo.xlsx,Hoja1,0.8,4,time_sweep
zenodo_17413651::Colageno_bov_1.5_1_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_1.5_1_frecuencia.xlsx,Hoja1,1.5,1,frequency_sweep
zenodo_17413651::Colageno_bov_1.5_1_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_1.5_1_tiempo.xlsx,Hoja1,1.5,1,time_sweep
zenodo_17413651::Colageno_bov_1.5_2_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_1.5_2_frecuencia.xlsx,Hoja1,1.5,2,frequency_sweep
zenodo_17413651::Colageno_bov_1.5_2_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_1.5_2_tiempo.xlsx,Hoja1,1.5,2,time_sweep
zenodo_17413651::Colageno_bov_1.5_3_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_1.5_3_frecuencia.xlsx,Hoja1,1.5,3,frequency_sweep
zenodo_17413651::Colageno_bov_1.5_3_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_1.5_3_tiempo.xlsx,Hoja1,1.5,3,time_sweep
zenodo_17413651::Colageno_bov_2.3_1_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_2.3_1_frecuencia.xlsx,Hoja1,2.3,1,frequency_sweep
zenodo_17413651::Colageno_bov_2.3_1_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_2.3_1_tiempo.xlsx,Hoja1,2.3,1,time_sweep
zenodo_17413651::Colageno_bov_2.3_2_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_2.3_2_frecuencia.xlsx,Hoja1,2.3,2,frequency_sweep
zenodo_17413651::Colageno_bov_2.3_2_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_2.3_2_tiempo.xlsx,Hoja1,2.3,2,time_sweep
zenodo_17413651::Colageno_bov_2.3_3_frecuencia.xlsx::Hoja1,zenodo_17413651,Colageno_bov_2.3_3_frecuencia.xlsx,Hoja1,2.3,3,frequency_sweep
zenodo_17413651::Colageno_bov_2.3_3_tiempo.xlsx::Hoja1,zenodo_17413651,Colageno_bov_2.3_3_tiempo.xlsx,Hoja1,2.3,3,time_sweep
